partnername,Circle,count(*),AVG(delaydays)
M/s. Sachdeva Metal works,"P. H. Circle, Porbandar",15,99.8
Ketan Engineering Works,"P. H. Circle, Rajkot",8,139.5
M/S. Apollo Screens Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",15,35.5
M/s. Bikaner Engineering Works,"P. H. Circle, Bhuj",33,200.21212121212122
M/s. Gaurang Products Limited,"P. H. Mech. Circle, Surat",5,120.8
M/s. Vishal Pipes Ltd.,"P. H. Mech. Circle, Ahmedabad",10,21.625
M/S. Techno Industries Ltd,"P. H. Mech. Circle, Junagadh",9,88.55555555555556
"Mbh Pump(Gujrat)Pvt. Ltd., Ahemdabad","P. H. Mech. Circle, Vadodara",2,107.0
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Rajkot",4,107.5
M/S. Spark Electrodes Pvt. Ltd.,"P. H. Mech. Circle, Surat",12,89.25
M/s. Essem Engineering Industries,"P .H .Circle, Himatnagar",3,106.66666666666667
M/s. Bikaner Engineering Works,"P. H. Circle, Ahmedabad",12,131.25
Ketan Engineering Works,,1,
Ketan Engineering Works,"P. H. Circle, Palanpur",6,171.33333333333334
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Valsad",7,775.0
M/s. Falcon Pumps Pvt. Ltd.,"P. H. Circle, Bhuj",10,151.0
M/s. National Steels,"P. H. Mech. Circle, Ahmedabad",148,10.567567567567568
M/s. Agarwal Industries,"P. H. Circle, Bhavnagar",1,234.0
Agrawal Engineering Works,"P. H. Circle, Bhavnagar",13,88.88888888888889
Agrawal Engineering Works,"P .H .Circle, Himatnagar",2,208.0
M/s. Hawa Engineers Ltd,"P. H. Circle, Anjar",1,96.0
M/s. Hawa Engineers Ltd,"P. H. Circle, Mahesana",4,91.0
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Bhavnagar",24,107.20833333333333
"Gacl,Vadodara","P. H. Circle, Porbandar",3,163.0
M/s. Sachdeva Metal works,"P. H. Circle, Bhavnagar",22,44.45454545454545
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Godhara",7,735.6666666666666
M/s. Lubi Industries LLP.,"P. H. Mech. Circle, Vadodara",1,145.0
M/s. Essem Engineering Industries,"P. H. Circle, Surat",3,135.33333333333334
Jindal Saw Limited,"P. H. Circle, Palanpur",1,0.0
M/S. Spark Electrodes Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",78,31.89189189189189
M/s. Essem Engineering Industries,"P. H. Circle, Bhuj",6,199.5
Ketan Engineering Works,"P. H. Circle, Surat",4,92.0
Ketan Engineering Works,"P. H. Circle, Godhara",2,83.0
M/s. Bikaner Engineering Works,"P. H. Circle, Mahesana",13,77.0
M/s. Dadu Pipes Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",12,158.4
"Gacl,Vadodara","P. H. Circle, Bhavnagar",23,85.2
M/s. Dutron Polymer,"P. H. Circle, Surat",23,112.17391304347827
M/s. Signet Industries Limited,,33,76.10714285714286
Natraj Polyplast Pvt. Ltd.,,11,91.11111111111111
"Mbh Pump(Gujrat)Pvt. Ltd., Ahemdabad","P. H. Circle, Bhuj",9,240.0
M/s. Dolphin Polyplast Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",42,27.30952380952381
M/s. Dutron Polymer,"P. H. Mech. Circle, Vadodara",5,64.25
M/s. Hawa Engineers Ltd,"P. H. Circle, Palanpur",6,44.0
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Bhuj",4,224.25
M/s. Bikaner Engineering Works,"P. H. Circle, Godhara",15,43.6
M/s. Gaurang Products Limited,"P. H. Mech. Circle, Ahmedabad",47,54.21739130434783
Ketan Engineering Works,"P. H. Circle, Anjar",16,208.0
M/s. Dutron Polymer,"P. H. Mech. Circle, Surat",28,51.73076923076923
M/s. Dutron Polymer,"P. H. Circle, Junagadh",8,10.5
IMF Polymers LLP,,10,42.6
M/s. Essem Engineering Industries,"P. H. Circle, Bhavnagar",2,170.5
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Porbandar",2,3.0
M/s. Falcon Pumps Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",22,40.95454545454545
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Vadodara",2,252.0
M/S. Lubi Electronics,"P. H. Mech. Circle, Ahmedabad",58,23.775862068965516
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Palanpur",10,79.66666666666667
M/S. Spark Electrodes Pvt. Ltd.,"P. H. Mech. Circle, Vadodara",4,145.0
M/s. U P Pumps Pvt.Ltd.,"P. H. Mech. Circle, Ahmedabad",57,27.017543859649123
Agrawal Engineering Works,"P. H. Circle, Vadodara",3,181.0
